,Bcell_pred,CD4T_pred,CD8T_pred,Mono_pred,NK_pred,Neu_pred,Bcell_true,CD4T_true,CD8T_true,Mono_true,NK_true,Neu_true
GSM2334319_7766148002_R04C01,0.039555438,0.07179104,0.058156542,0.09624953,0.13744298,0.6303523,0.045436166,0.06598406,0.047068495,0.09975561,0.15790915,0.6384442
GSM2334324_7512560137_R06C01,0.052120037,0.10937296,0.1304057,0.089864574,0.100648694,0.57460827,0.06858098,0.10119159,0.1449493,0.07141734,0.09661722,0.57851994
GSM2334333_7512560137_R04C02,0.047779,0.10991903,0.087300844,0.08951177,0.12144819,0.5852809,0.053162813,0.1343954,0.06449508,0.07950171,0.13960475,0.5861605
GSM2334341_9376561035_R06C02,0.10053395,0.1827074,0.20765607,0.09494089,0.13548924,0.31848484,0.13435723,0.21203762,0.1299567,0.09778181,0.19334258,0.28501806
GSM2334360_9370847124_R04C02,0.06327004,0.13143688,0.1700245,0.09180166,0.08002153,0.5047927,0.07448489,0.13095015,0.15761887,0.079891175,0.08560105,0.5181513
GSM2334361_9370847131_R02C01,0.068486065,0.18320745,0.14876981,0.08738767,0.059523072,0.51631916,0.05582512,0.19216767,0.14326444,0.062837556,0.064677164,0.530683
GSM2334364_9370847124_R05C02,0.04646744,0.11075527,0.12097805,0.098704524,0.02649331,0.64429617,0.055044472,0.107438944,0.121236615,0.090015374,0.031019533,0.63887316
GSM2334365_9376538150_R01C01,0.0909712,0.18425024,0.1323159,0.08555942,0.09265973,0.45213607,0.10565794,0.19726345,0.1376135,0.07342804,0.082215376,0.4485628
GSM2334366_7512560092_R05C02,0.07553317,0.11680498,0.1168181,0.09913109,0.15182061,0.507592,0.08466563,0.10686357,0.08352164,0.14005846,0.16892728,0.51316494
GSM2334367_7512560134_R01C01,0.036290687,0.08458116,0.0382858,0.10933606,0.057603393,0.7162601,0.035267755,0.085596494,0.025186926,0.09887332,0.08443752,0.7145818
GSM2334372_7512560092_R03C01,0.058096923,0.14951836,0.20479797,0.08205485,0.06046123,0.5230787,0.048331264,0.18838893,0.18066694,0.09712702,0.04559512,0.510933
GSM2334377_9370847124_R04C01,0.04425762,0.06878909,0.19019152,0.07618927,0.14422472,0.51246715,0.042029727,0.05041873,0.22690952,0.067116156,0.13239102,0.52626646
GSM2334380_9370847124_R01C01,0.008831477,0.046098743,0.077929586,0.08230225,0.075782694,0.7321614,0.009194628,0.02605366,0.086560085,0.06499167,0.06709382,0.76886153
GSM2334381_9379082133_R03C02,0.032496337,0.0747643,0.042858817,0.104578815,0.026823994,0.74907535,0.025524238,0.08441196,0.049841687,0.10228235,0.0043721357,0.7566791
GSM2334382_9370847124_R05C01,0.046763256,0.13481736,0.09936397,0.10164041,0.026718594,0.6537123,0.031574875,0.13721228,0.115825705,0.082290135,0.027440738,0.64861083
GSM2334390_9379082133_R05C02,0.05054594,0.09006103,0.08607741,0.103025146,0.048725907,0.6597089,0.061341237,0.10772822,0.065726995,0.08261671,0.047952265,0.6724387
GSM2334396_9376538092_R03C01,0.07987441,0.12178232,0.16923158,0.10167724,0.09763319,0.47797745,0.090038225,0.11639981,0.15976702,0.11160614,0.108517416,0.4785193
GSM2334398_9376538092_R04C01,0.09526254,0.17095217,0.1988262,0.09112831,0.07065575,0.43261862,0.09103033,0.16446906,0.1865965,0.11191592,0.090686336,0.4287906
GSM2334399_7512560134_R03C02,0.036312856,0.07150614,0.111755945,0.1041544,0.067896925,0.64519304,0.037585713,0.08169118,0.11061904,0.11615684,0.06958328,0.62973785
GSM2334407_9376537113_R01C01,0.07762085,0.124038056,0.13080059,0.10587115,0.056983855,0.5527797,0.10156171,0.11575678,0.13641745,0.11120289,0.025155501,0.55513746
GSM2334411_7512560102_R03C01,0.044976205,0.091202945,0.06615663,0.10619234,0.050859056,0.68724936,0.04783607,0.11163373,0.065410174,0.10283552,0.048014466,0.6756022
GSM2334414_9379082134_R04C02,0.072117314,0.1467592,0.13053225,0.095679194,0.073552996,0.529901,0.065761566,0.14207466,0.11277821,0.108721726,0.10393313,0.50939494
GSM2334418_7512560102_R05C02,0.048876807,0.07495779,0.075674504,0.11828348,0.08676564,0.6373421,0.04731965,0.09671729,0.05901463,0.1030504,0.09908572,0.6549338
GSM2334420_7512560102_R06C02,0.084972814,0.1507059,0.0871647,0.1173434,0.09442784,0.51572955,0.0892558,0.15880513,0.10162217,0.1352513,0.07072012,0.5155264
GSM2334430_9376538150_R04C01,0.034997266,0.08959259,0.16486558,0.09079527,0.08684463,0.5654883,0.029543532,0.108898535,0.14748165,0.09097086,0.09081178,0.5638726
GSM2334434_9376538150_R06C01,0.064428404,0.13011774,0.1713402,0.07848121,0.0667669,0.5314839,0.066888385,0.14138354,0.15863389,0.07209478,0.07299468,0.53134006
GSM2334450_7766148055_R01C01,0.050878443,0.097801544,0.11956805,0.09979584,0.043599475,0.6379789,0.047707886,0.09917524,0.1342852,0.08672333,0.038662367,0.6426907
